Ticker,Date,,,,,
CIEN,5/6/2026,,,,,
MU,5/6/2026,,,,,
TSEM,5/6/2026,,,,,
FIX,5/6/2026,,,,,
INTC,5/6/2026,,,,,
COHR,5/6/2026,,,,,
SATS,5/6/2026,,,,,
TER,5/6/2026,,,,,
GLW,5/6/2026,,,,,
VRT,5/6/2026,,,,,
LRCX,5/6/2026,,,,,
RVMD,5/6/2026,,,,,
MKSI,5/6/2026,,,,,
FLEX,5/6/2026,,,,,
MTZ,5/6/2026,,,,,
TPR,5/6/2026,,,,,
NXT,5/6/2026,,,,,
FN,5/6/2026,,,,,
NVT,5/6/2026,,,,,
GEV,5/6/2026,,,,,
HWM,5/6/2026,,,,,
ALB,5/6/2026,,,,,
ATI,5/6/2026,,,,,
MTSI,5/6/2026,,,,,
SNDK,5/11/2026,,,,,
RKLB,5/11/2026,,,,,
LITE,5/11/2026,,,,,
BE,5/11/2026,,,,,
WDC,5/11/2026,,,,,
STX,5/11/2026,,,,,
MU,5/11/2026,,,,,
CIEN,5/11/2026,,,,,
INTC,5/11/2026,,,,,
TSEM,5/11/2026,,,,,
SATS,5/11/2026,,,,,
FIX,5/11/2026,,,,,
COHR,5/11/2026,,,,,
TER,5/11/2026,,,,,
GLW,5/11/2026,,,,,
VRT,5/11/2026,,,,,
MKSI,5/11/2026,,,,,
LRCX,5/11/2026,,,,,
FLEX,5/11/2026,,,,,
RVMD,5/11/2026,,,,,
NXT,5/11/2026,,,,,
ALB,5/11/2026,,,,,
MTSI,5/11/2026,,,,,
HWM,5/11/2026,,,,,
MTZ,5/11/2026,,,,,
NVT,5/11/2026,,,,,
TPR,5/11/2026,,,,,
FN,5/11/2026,,,,,
GEV,5/11/2026,,,,,
AMAT,5/11/2026,,,,,
SNDK,5/14/2026,,,,,
RKLB,5/14/2026,,,,,
LITE,5/14/2026,,,,,
BE,5/14/2026,,,,,
WDC,5/14/2026,,,,,
MU,5/14/2026,,,,,
STX,5/14/2026,,,,,
CIEN,5/14/2026,,,,,
TSEM,5/14/2026,,,,,
COHR,5/14/2026,,,,,
SATS,5/14/2026,,,,,
FIX,5/14/2026,,,,,
INTC,5/14/2026,,,,,
TER,5/14/2026,,,,,
GLW,5/14/2026,,,,,
VRT,5/14/2026,,,,,
FLEX,5/14/2026,,,,,
LRCX,5/14/2026,,,,,
MKSI,5/14/2026,,,,,
RVMD,5/14/2026,,,,,
MTSI,5/14/2026,,,,,
NXT,5/14/2026,,,,,
MTZ,5/14/2026,,,,,
HWM,5/14/2026,,,,,
FN,5/14/2026,,,,,
NVT,5/14/2026,,,,,
GEV,5/14/2026,,,,,
ATI,5/14/2026,,,,,
TPR,5/14/2026,,,,,
MRVL,5/14/2026,,,,,
RKLB,5/18/2026,,,,,
SNDK,5/18/2026,,,,,
LITE,5/18/2026,,,,,
BE,5/18/2026,,,,,
WDC,5/18/2026,,,,,
STX,5/18/2026,,,,,
MU,5/18/2026,,,,,
CIEN,5/18/2026,,,,,
TSEM,5/18/2026,,,,,
SATS,5/18/2026,,,,,
COHR,5/18/2026,,,,,
FIX,5/18/2026,,,,,
INTC,5/18/2026,,,,,
TER,5/18/2026,,,,,
GLW,5/18/2026,,,,,
VRT,5/18/2026,,,,,
MKSI,5/18/2026,,,,,
LRCX,5/18/2026,,,,,
FLEX,5/18/2026,,,,,
RVMD,5/18/2026,,,,,
NXT,5/18/2026,,,,,
MTSI,5/18/2026,,,,,
FN,5/18/2026,,,,,
HWM,5/18/2026,,,,,
MTZ,5/18/2026,,,,,
TPR,5/18/2026,,,,,
NVT,5/18/2026,,,,,
GEV,5/18/2026,,,,,
ATI,5/18/2026,,,,,
ALB,5/18/2026,,,,,
SNDK,5/21/2026,,,,,
RKLB,5/21/2026,,,,,
BE,5/21/2026,,,,,
LITE,5/21/2026,,,,,
WDC,5/21/2026,,,,,
STX,5/21/2026,,,,,
MU,5/21/2026,,,,,
CIEN,5/21/2026,,,,,
TSEM,5/21/2026,,,,,
SATS,5/21/2026,,,,,
COHR,5/21/2026,,,,,
INTC,5/21/2026,,,,,
FIX,5/21/2026,,,,,
TER,5/21/2026,,,,,
GLW,5/21/2026,,,,,
LRCX,5/21/2026,,,,,
MKSI,5/21/2026,,,,,
RVMD,5/21/2026,,,,,
FLEX,5/21/2026,,,,,
VRT,5/21/2026,,,,,
MTSI,5/21/2026,,,,,
NXT,5/21/2026,,,,,
FN,5/21/2026,,,,,
HWM,5/21/2026,,,,,
TPR,5/21/2026,,,,,
MRVL,5/21/2026,,,,,
MTZ,5/21/2026,,,,,
GEV,5/21/2026,,,,,
NVT,5/21/2026,,,,,
ROIV,5/21/2026,,,,,
SNDK,5/26/2026,,,,,
RKLB,5/26/2026,,,,,
BE,5/26/2026,,,,,
LITE,5/26/2026,,,,,
WDC,5/26/2026,,,,,
MU,5/26/2026,,,,,
STX,5/26/2026,,,,,
CIEN,5/26/2026,,,,,
TSEM,5/26/2026,,,,,
INTC,5/26/2026,,,,,
COHR,5/26/2026,,,,,
SATS,5/26/2026,,,,,
FIX,5/26/2026,,,,,
TER,5/26/2026,,,,,
GLW,5/26/2026,,,,,
LRCX,5/26/2026,,,,,
MKSI,5/26/2026,,,,,
FLEX,5/26/2026,,,,,
RVMD,5/26/2026,,,,,
VRT,5/26/2026,,,,,
MTSI,5/26/2026,,,,,
NXT,5/26/2026,,,,,
MRVL,5/26/2026,,,,,
FN,5/26/2026,,,,,
HWM,5/26/2026,,,,,
TPR,5/26/2026,,,,,
MTZ,5/26/2026,,,,,
GEV,5/26/2026,,,,,
ATI,5/26/2026,,,,,
NVT,5/26/2026,,,,,
